name,city,sector
Türkiye Şişe ve Cam Fabrikaları A.Ş.,Kocaeli,Cam ve Cam Ürünleri
Grafi2000 Prodüksiyon Reklamcılık Yay. ve Tic. A.Ş.,İstanbul,Medya ve İletişim
Kimteks Tekstil İnşaat Tic. ve San. A.Ş.,Adana,Tekstil
Çukurova Silo İşletmeciliği ve Mak. San. İnş. Tic. Ltd. Şti.,Adana,İmalat Sanayi
Step Tasarım Mühendislik ve Danışmanlık Hiz. Tic. A.Ş.,Bursa,Otomotiv Tasarımı ve Mühendislik
Atasan Metal Sanayi ve Ticaret Anonim Şirketi,Sakarya,İmalat Sanayi
Aster Tekstil San ve Dış Tic. A.Ş.,İstanbul,Tekstil
CNC İleri Teknoloji Mühendislik San. ve Tic. Ltd. Şti.,İstanbul,Makine ve Teçhizat İmalatı
Tabanlıoğlu Mimarlık Anonim Şirketi,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Lh Post Prodüksiyon Yapım Sanayi ve Ticaret Ltd. Şti.,İstanbul,Medya ve İletişim
Termo Isı Sistemleri Ticaret ve Sanayi Anonim Şirketi,Tekirdağ,İmalat Sanayi
Hidroser Hidrolik Pnömatik Ekip. San. Tic A.Ş.,Tekirdağ,Makine ve Teçhizat İmalatı
ATM Isı Transfer San. ve Tic. A.Ş.,Kocaeli,İmalat Sanayi
Mudo Satış Mağazaları Anonim Şirketi,İstanbul,Konfeksiyon ve Hazır Giyim
Özgüven Tasarım Mimarlık İnşaat San. ve Tic. A.Ş. İstanbul Şubesi,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Durak Tekstil Sanayi ve Ticaret A.Ş.,Bursa,Tekstil
Fetih Tekstil San. ve Tic. Ltd. Şti.,İstanbul,Tekstil
Ünimetal Hassas Döküm Makina ve Yedek Parça San. ve Tic. A.Ş,İstanbul,Dökümcülük
Tav Tepe Akfen Yatırım İnşaat ve İşl. A.Ş.,İstanbul,İnşaat
Tosunoğulları Mobilya Sanayi ve Ticaret A.Ş.,İstanbul,Mobilya
Dizaynvip Otomotiv Mühendisliği Tasarımı ve Üretimi A.Ş.,İstanbul,Otomotiv
Barış Endüstriyel Enerji Sistemleri A.Ş.,Adana,İmalat Sanayi
Ergün Mimarlık Ltd. Şti.,İstanbul,İnşaat
Domeks Makine Anonim Şirketi,Tekirdağ,Makine ve Teçhizat İmalatı
Hps Hidrolik Proje Sistem Teknolojileri San. Tic. A.Ş.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Simetrik Pro Üretim Sistem Çözümleri ve Endüstriyel Ekipman Teknolojileri San. ve Tic. Ltd. Şti.,Bursa,Otomotiv Yan Sanayi
Gelişim Tekstil San.ve Tic. A.Ş.,İstanbul,Tekstil
Dentaş Ambalaj ve Kağıt Sanayi A.Ş.,Denizli,Kağıt ve Kağıt Ürünleri
Orakçı Makina İmalat İth. İht. San. ve Tic. A.Ş.,Bursa,Otomotiv
Karaca Züccaciye Tic. San. A.Ş.,İstanbul,Seramik ve Refrakter
Mesan Plastik ve Metal Sanayi A.Ş.,İstanbul,Mobilya
Karyer Isı Transfer Sanayi ve Ticaret Anonim Şirketi,İstanbul,İklimlendirme
Rönesans Stratejik ve Özellikli Yapılar İnşaat ve Taahhüt A.Ş.,Ankara,İnşaat
Manisa Kardan Cemmer Otomotiv Makine Aksamı San. ve Tic. A.Ş.,Manisa,Otomotiv Yan Sanayi
Kolt Mühendislik A.Ş.,Ankara,Savunma Sanayi
Mavi Giyim San. ve Tic. A.Ş.,İstanbul,Konfeksiyon ve Hazır Giyim
Öztuğ Endüstri ve Otomotiv Anonim Şirketi,Bursa,Otomotiv
Med Yapım Televizyon ve Filmcilik A.Ş.,İstanbul,Medya ve İletişim
Özer ve Ürger Mimarlık Mühendislik Müşavirlik İnşaat Ticaret Limited Şirketi,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Erginoğlu Çalışlar Mimarlık İnş. Tic. ve Turizm A.Ş.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Mertoğlu Kent Mobilyaları Anonim Şirketi,Ankara,Mobilya
Bosch Sanayi ve Ticaret Anonim Şirketi,İstanbul,Otomotiv Yan Sanayi
Mertay Metal Saç Makina Sanayi ve Ticaret Limited Şirketi,Bursa,İmalat Sanayi
Dorçe Prefabrik Yapı ve İnşaat Sanayi Ticaret A.Ş.,Ankara,Mühendislik/Mimarlık Faaliyetleri
Politeknik Elektronik San. Tic. Ltd. Şti.,İzmir,Elektronik
Era Elektronik San. ve Tic. A.Ş.,İstanbul,Elektronik
Tosunoğlu Tekstil San. ve Tic. A. Ş.,Denizli,Tekstil
Rem Mimarlık Dek. Rest. Proje Taah. Hizm. Ltd. Şti.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Hpp International Turkey Mimarlık ve Danışmanlık Hizmetleri Ltd. Şti.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Tago Mimarlık Müh. Müşv. ve Tic. Ltd. Şti.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Hilmi Güner Mimarlık Mühendislik Müşavirlik Ltd. Şti.,Ankara,Mühendislik/Mimarlık Faaliyetleri
Geoid Konsept ve Danışmanlık Ticaret Anonim Şirketi,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Zoom Mimari Tasarım Proje Uygulama Anonim Şirketi,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Cemre Dizayn ve Mühendislik A.Ş.,Yalova,Denizcilik
Güven Pres Döküm San. ve Tic. A.Ş.,İstanbul,Dökümcülük
Önallar Tarım Makineleri Anonim Şirketi,Konya,Makine ve Teçhizat İmalatı
Efe Endüstri ve Ticaret A.Ş.,İzmir,Otomotiv Yan Sanayi
Sigma Mühendislik Hizmetleri Dek. İnş. Ltd. Şti.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Mk Aydınlatma Pazarlama Ltd. Şti.,İstanbul,Enerji
Ddf Tanıtım Tasarım Danış ve Org İç ve Dış Tic. A.Ş.,İstanbul,Medya ve İletişim
İnka Yapı Bağlantı Elemanları Sanayi ve Ticaret Anonim Şirketi,İstanbul,İmalat Sanayi
Eroğlu Giyim San. Tic. A.Ş.,İstanbul,Tekstil
Makinsan Treyler Ticaret ve Sanayi Anonim Şirketi,Adana,Otomotiv
Rafineri Reklamcılık Hizm. ve Tic. A.Ş.,İstanbul,Medya ve İletişim
Mojo Prodüksiyon ve Görsel Teknoloji Ltd.şti.,İstanbul,Medya ve İletişim
Hünel Kalıp Sanayi ve Ticaret Ltd. Şti.,Bursa,Otomotiv
Boytorun Mimarlık Mühendislik İnş. San. ve Tic. Ltd. Şti.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Evi Metal İnoks Yapı Çözümleri Ltd. Şti,İstanbul,İmalat Sanayi
Şafak Döküm Makina Parça San. ve Tic. A.Ş.,İzmir,Dökümcülük
Özçelik Makina San. ve Tic. A.Ş.,İstanbul,Makine ve Teçhizat İmalatı
Nestle Türkiye Gıda Sanayi A.Ş.,Bursa,Gıda Sanayi
Milmast Yükseltme Sistemleri A.Ş.,Ankara,Savunma Sanayi
Teknomak İmalat Sanayi ve Ticaret Anonim Şirketi,Ankara,Makine ve Teçhizat İmalatı
Ace Mimarlık Mühendislik Müşavirlik ve İnşaat Anonim Şirketi,Ankara,Mühendislik/Mimarlık Faaliyetleri
Toner Mimarlık İnşaat ve Ticaret A.Ş.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
A Tasarım Mimarlık Uygulama Danışmanlık İnş. San. ve Tic. Ltd. Şti.,Ankara,Mühendislik/Mimarlık Faaliyetleri
Yps Otomotiv Sanayi ve Ticaret A.Ş.,Bursa,Otomotiv Yan Sanayi
Merkad Makina Kalıp San. ve Tic. Ltd. Şti.,İstanbul,İmalat Sanayi
